CS458 Natural Language Processing
BCS-9A
Assignment 2
Taimoor Khan
•
Oct 18, 2020
100 points
Due Oct 26, 2020
Perform text classification using the attached dataset. Try different classifiers and report their accuracy.

Movies_TV.txt
Text
Class comments

Your work
Turned in

knn_classification.ipynb
Colaboratory

Movies_TV.csv
Excel
Private comments


Domain	Label	Rating	Review
Movies_TV	POS	5	`` SHANGHAI WENDY ? '' , the pirate reply . !!! that be what I say !!! Captain Hook be , he fellow pirate say , `` the world 's most famous crook '' ! if it be not for Peter Pan , I would not have a name ! I be most grateful to be name after wendy darling , a most gracious heroine and foster mother to the lose boy of never , never land . I be so glad too that Disney leave out the end where wendy grow up after all , get marry , and meet Peter Pan after so many year of separation . what a rotten ending , I have always think , so glad this version end differently . there be not really a moral to the story , just a fanciful adventure\/children 's story of innocent kid battle Captain Hook and he cohort . another Disney classic ! `` say you prayer , Hook !!! '' , Peter Pan reply when he save the day !
Movies_TV	POS	5	the Tenth doctor start life with a bang and keep on go . alien invasion during Christmas , werewolve come after the Queen , clockwork robot in France , Cybermen , Daleks , Satan and lot of comedy . this doctor , David Tennant , have a new style but just as much energy as the past doctor . he be both a man of action but also have a strong sense of ethic and belief that guide he even when all seem lose . all the episode have commentary , the dvd have lot of outtake , delete scene and special . a must for all Dr. who fan .
Movies_TV	POS	5	pick up where the first season leave off , the second season of who be true to the original BBC series . continuity be not a real problem for true Whovians . and as with series one , those who do not know much about the old series be still take in . quality production work all around . lot of location shot -lrb- thanks to have production in Cardiff -rrb- which make the show even better . back story with Rose 's family and boyfriend be continue , help give the show a anchor . David Tennant do a wonderful job as doctor # 10 . as one friend say , he make you say , `` Christopher who ? '' all in all , great all-around series . if you love the old Doctor who , buy it . if you hate the old Doctor who , try it out . if you have not hear of it all , buy it - you 'll love it !
Movies_TV	POS	5	the dvd come the next day after I order it . I be pleasantly surprised and watch the dvd that evening . it be a great purchase .
Movies_TV	POS	4	it have action , suspense , hi-technology , and Will Smith pair with vetran gene Hackman . what else could you ask for ? I will say that the casting be excellent . I be pleasantly surprise to see Lisa Bonet in the flick , but not surprise at she fate . there be a element of predictability at certain point but overall I enjoy it .
Movies_TV	POS	5	this be a great disney classic . the two disk set have some fun new feature .
Movies_TV	POS	5	my daughter love the movie . as usual disney do a great job on this movie .
Movies_TV	POS	4	Peter Pan may not be as beautifully craft as Snow White or Pinocchio , and the music may not reach the same height , but even four-star Disney be pretty darned fine entertainment . like those earlier masterpiece , Disney 's Peter Pan be better than the original -lrb- worried that the Disney version be not politically correct ?  try Barrie 's story and suffer apoplexy -rrb- . Saw Peter Pan when I be three year old and enjoy it thoroughly again 37 and now 51 year later . it may not be highly refine , but it be irresistible nonetheless , and mile ahead of anything Disney have make in the past 30 year .  to those who want Disney to edit out the knife and gun , cast the Indians and female in they modern p.c. stereotype , and give Peter a monologue about save the environment in Never Land , keep in mind that when the studio get finish please not just you but everybody else with a gripe , there would be nothing left of the movie  or of much else write before the current age of political correctness .  give I Hamlet and Paradise lose exactly as they be create . Peter Pan , too .
Movies_TV	POS	5	replace classic Disney movie with dvd 's put Peter Pan near the top . ca not be beat in more modern version . arrive promptly and in excellent condition .
Movies_TV	POS	5	Cinderella III be the latest Disney direct-to-dvd feature film and the final chapter of one of Disney 's most celebrated fairytale . in part iii , Lady Tremaine , Cinderella 's evil stepmother , finally get she revenge by steal the Fairy Godmother 's magic wand and magically turn back time to prevent Cinderella from wear the glass slipper , so Cinderella and she mouse friend Gus and Jaq battle back from a perilous fate to return back to she Prince Charming . the special feature include a Fairy Godmother magic wand game , a Princess music video juke box , and a special sneak peek of the Disney Princess Enchanted tale dvd series . Cinderella III be one of the best Disney Princess dvd 's to be enjoy be everyone .
Movies_TV	NEU	3	I be glance at the other review and notice some reviewer wonder what become of the missing scene in which the audience be ask if they believe in faerie . the fact of the matter be this scene , which be vital to the original play , be purposely omit by Walt Disney be he animated version . in fact , when the Disney version appear in 1953 , many reviewer who be great fan of the Barrie play complain about this , among they , Bosley Crowther , film critic for the New York Times , and Herbert Brenon , a british director who make a very popular silent film version of Peter Pan in 1925 . why would Disney do this ? Crowther speculate that Disney assume that Americans be more literal mind in 1953 than they british counterpart be in 1904 -lrb- when the play be first stage -rrb- , and so would not buy into all that faerie stuff . also , Crowther sardonically add that perhaps Disney be afraid that Americans would find it simply too embarrassing to deal with too much `` pixiness . '' go figure . anyway , that be the story behind the missing scene .
